SUBJECT,SP,Start,End,Length
U,37,8447.773889,8457.765556,9.991667
U,38,8471.774167,8481.765833,9.991666
V,1,958.020278,970.011944,11.991666
V,2,974.02,978.011667,3.9916669999999996
V,3,982.023611,994.015278,11.991667
V,4,998.0247220000001,1002.016389,3.9916669999999996
V,5,1006.0244439999999,1018.0161109999999,11.991667
V,6,1022.018056,1026.009722,3.9916660000000004
V,7,1031.0175,1041.009167,9.991667
V,8,1055.021111,1065.012778,9.991667
V,9,1079.018611,1089.010278,9.991667
V,10,1102.352222,1109.010556,6.658334
V,11,1122.350833,1129.009167,6.658334
V,12,1142.355,1149.013333,6.658333
V,13,1162.35,1169.016667,6.6666669999999995
V,14,1182.351667,1189.01,6.658333
V,15,1202.3530560000002,1209.011389,6.658333
V,16,1222.353333,1229.011667,6.658334
V,17,1242.3569439999999,1249.0152779999999,6.658334
V,18,1262.3577779999998,1269.016111,6.658333
V,19,1282.35,1289.016667,6.6666669999999995
V,20,1302.350278,1309.008611,6.658333
V,21,1322.351111,1329.009444,6.658333
V,22,1342.3575,1349.015833,6.658333
V,23,1362.350278,1369.008611,6.658333
V,24,1382.350833,1389.009167,6.658334
V,25,1402.354167,1409.0125,6.658333
V,26,1422.351111,1429.009444,6.658333
V,27,1442.351944,1449.010278,6.658334
V,28,1462.358056,1469.0163890000001,6.658333
V,29,1482.356389,1489.0147220000001,6.658333
V,30,1502.356667,1509.015,6.658333
V,31,1522.358056,1529.0163890000001,6.658333
V,32,1542.351944,1549.010278,6.658334
V,33,1562.3530560000002,1569.011389,6.658333
V,34,1584.153611,1594.145278,9.991667
V,35,1608.157222,1618.148889,9.991667
V,36,1632.150833,1642.1425,9.991667
V,37,1656.156667,1666.148333,9.991666
V,38,1680.1572219999998,1690.148889,9.991667
W,1,4987.9533329999995,4999.945,11.991667
W,2,5003.950278,5007.941944,3.9916660000000004
W,3,5011.956389,5023.948056,11.991667
W,4,5027.956944,5031.948611,3.9916669999999996
W,5,5035.951111,5047.9427780000005,11.991667
W,6,5051.9519439999995,5055.943611,3.9916669999999996
