SUBJECT,SESSION,HDIGMeanInverseRT,HDIGTheta0,HDIGTheta1,status
F,148,3.031594286635076,358.6855422057688,3030.3690323596243,0
F,149,2.975318035194009,353.16172894276184,4386.641863594414,0
F,150,3.396831764005826,313.12130293619106,3495.1872562317826,0
F,151,2.8365290434811286,370.41976928036314,4523.5182256876005,0
F,152,2.424869893530047,441.84848587794926,4441.803094490307,0
F,153,2.7161716074000064,411.9981015120239,2868.5788876427237,0
F,154,3.1731289461208805,348.15064292073396,2801.551878189046,0
F,155,3.3628767510782245,322.1797626265911,3056.9105165265496,0
F,156,2.768141493792379,405.5710819006068,2857.286044496283,0
F,157,2.892488515315993,355.75792105583787,5971.065847713989,0
F,158,2.8851550019547614,402.890172394338,2062.5976257522443,0
F,159,2.5410520452387195,443.1628459073791,2938.096568805813,0
F,160,2.5566673755272933,449.6357990235298,2377.510129319133,0
F,161,2.5327324256870396,437.8706437124311,3045.8870807140843,0
F,162,2.877567696462707,369.83301232558995,3946.8174656654446,0
F,163,2.354532438758978,508.89799390581874,2207.3457418700887,0
F,164,2.7349652265407056,404.44561703131205,3008.541854359225,0
F,165,2.408640017585302,455.6894802144961,3594.4911394452306,0
K,18,3.186052788499611,322.41229938230737,5814.803108921763,0
K,19,3.5921634213831246,285.5444142009055,5298.410357350199,0
K,20,3.121671880650989,326.1856978543651,7521.5304507916435,0
K,21,3.5169671566497973,289.59040481733985,6410.001514866761,0
K,22,3.2944059117317224,308.56818730704117,6535.788654367125,0
K,23,3.7904581135823694,263.33991638744004,9280.993633946913,0
K,24,3.2718602630781586,313.09363423852017,5829.137900728676,0
K,25,3.0147709153051983,341.55079126748836,5939.554140353999,0
K,26,3.4003013873112846,305.3763367580372,4287.574665668487,0
K,27,3.191629111229763,316.1288936811879,8198.7512697895,0
K,28,3.024935088532656,334.57408438918156,8478.98634250439,0
K,29,3.073730597748337,331.91323689882256,6655.607705451121,0
K,30,3.5269199770812065,285.29436291956745,7255.323801046377,0
K,31,3.3083160138378056,306.9786107703818,6451.67934621967,0
K,32,3.5459283725293567,283.39887212299,8119.122125756108,0
K,33,3.3176801522713406,302.2498552571692,9090.564323279441,0
K,34,3.3234806054813206,304.88704923152625,7087.4924142395885,0
K,35,3.359473267496468,295.78219401019044,10758.099748216398,0
K,36,3.948954434035599,253.82577492247216,8570.986979983936,0
K,37,3.764442337379501,264.90456541771624,10315.773288245226,0
K,38,3.745880070097441,267.11145141904893,9675.181393005987,0
K,39,3.0942613922617856,336.4021904384243,4483.554057914175,0
K,40,2.4775076789496997,499.9697718426178,1873.733046371057,0
K,41,3.9587477702147535,252.76964100666186,8663.902151128865,0
K,42,3.497879349903852,286.5618611691272,8580.941268587118,0
K,43,3.387716358162341,293.9524594920494,12319.12015627821,0
K,44,3.838901330443786,258.53050000990197,11679.497112534706,0
K,45,3.420953784045805,295.088743484062,7396.164125975266,0
K,46,3.0215218214172794,342.01074527639605,5438.540681933263,0
K,48,3.405622696363263,299.72986765375697,5954.910777664229,0
K,49,3.1936682599499973,312.30034425522626,10916.63296445842,0
K,50,3.8339546058062983,261.07815259113426,8190.72253127482,0
K,51,3.1580477290775932,325.0086624362529,5945.7781792301885,0
K,52,3.147111892232111,331.74753315144375,4513.580802188025,0
K,53,3.0975268060978958,349.6160101772188,2963.4624953171738,0
K,54,3.2601905386016874,310.25189717815357,7043.467920241725,0
K,55,2.984407777834889,341.53933894444293,6755.3157429073135,0
K,56,3.3588802612372404,306.5715309755386,5325.2363776399725,0
K,57,3.1710018690775796,320.4478823193357,6845.5185040858205,0
K,58,3.129904004992894,327.4489162792919,6099.2033933867715,0
K,59,3.492805403672933,288.90166711704256,6946.906433202521,0
K,60,3.2003059287077162,338.52153931766077,2874.5813217024856,0
K,61,3.0520682913062807,354.10200294135745,3257.58609793053,0
K,62,3.185457516651434,327.99443155237066,4491.454440093059,0
K,63,3.4261228043730867,289.65178356939776,11970.888355204866,0
K,64,3.439044598108109,293.01473765644056,8889.35689140824,0
K,65,3.321714767479354,301.9478700502177,9328.18473982062,0
K,66,3.5286139386001345,286.8125316698733,7003.319618139387,0
K,67,3.145078589694395,319.03896546461317,9999.855620273012,0
K,68,3.2973419321607125,323.87830108079964,3598.82533241627,0
K,69,3.4658922263729908,289.566175116567,8181.894133391752,0
K,70,2.9561766012044575,353.24722263341863,4326.2759281055505,0
K,71,3.409951145634218,297.33359976916597,7482.643918709709,0
K,72,3.8521656265766535,261.6778711812668,6340.355184164481,0
K,73,3.0682297471917326,326.85690780197007,11050.867226139246,0
K,74,3.248099985830503,310.2245912271463,8952.38179205917,0
K,75,3.0063010530507013,332.3133409872197,11158.218081180237,0
K,76,3.3459647016224845,304.6706040676032,5947.354203515735,0
K,77,3.483940454717684,286.0530959088124,11140.515640071693,0
K,78,3.3803913579377523,298.13239274952457,8276.16695141433,0
K,79,3.3809300942461022,297.6213546638379,8064.379342612169,0
K,80,3.2636571981225244,311.07512239769807,7175.798267531922,0
K,81,3.36655011402562,302.8313016498792,5921.534135306277,0
K,82,2.988093741738947,339.06178806176086,8157.093471823624,0
K,83,3.5135097491475538,288.90504613481954,6414.190109023889,0
K,84,3.5765275181757517,279.5446525620627,9912.902057399986,0
